k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,scaler,geometry,n_neighbors
4,0.217,0.131,1.0,TF-IDF,nearest_neighbors,8
4,0.214,0.129,1.0,TF-IDF,nearest_neighbors,9
4,0.21,0.128,1.0,TF-IDF,nearest_neighbors,7
4,0.207,0.126,1.0,TF-IDF,nearest_neighbors,4
5,0.24,0.14,0.947,TF-IDF,nearest_neighbors,5
5,0.221,0.139,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,9
5,0.213,0.138,0.987,Share of Top 30 (L1 Norm),nearest_neighbors,10
5,0.196,0.137,0.985,Share of Top 30 (L1 Norm),nearest_neighbors,8
5,0.2,0.136,0.87,Share of Top 30 (L1 Norm),nearest_neighbors,6
5,0.228,0.134,1.0,L2 Normalization,nearest_neighbors,4
5,0.189,0.132,0.895,Share of Top 30 (L1 Norm),nearest_neighbors,7
5,0.178,0.13,0.946,Share of Top 30 (L1 Norm),nearest_neighbors,5
5,0.155,0.129,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,4
5,0.217,0.128,1.0,L2 Normalization,nearest_neighbors,10
5,0.214,0.127,1.0,L2 Normalization,nearest_neighbors,8
5,0.212,0.127,1.0,L2 Normalization,nearest_neighbors,9
5,0.207,0.125,0.998,Share of Total,nearest_neighbors,7
5,0.207,0.124,0.982,L2 Normalization,nearest_neighbors,7
5,0.206,0.124,1.0,L2 Normalization,nearest_neighbors,6
5,0.206,0.124,0.902,Share of Total,nearest_neighbors,10
5,0.204,0.123,0.97,TF-IDF,nearest_neighbors,7
5,0.207,0.122,0.978,TF-IDF,nearest_neighbors,4
5,0.204,0.122,1.0,TF-IDF,nearest_neighbors,8
5,0.212,0.12,1.0,Share of Total,nearest_neighbors,8
5,0.211,0.119,0.939,Share of Total,nearest_neighbors,6
5,0.193,0.117,0.95,Share of Total,nearest_neighbors,5
5,0.2,0.115,0.949,Share of Total,nearest_neighbors,9
5,0.188,0.113,0.969,TF-IDF,nearest_neighbors,10
5,0.185,0.113,1.0,TF-IDF,nearest_neighbors,9
5,0.183,0.113,0.95,TF-IDF,nearest_neighbors,6
5,0.195,0.111,0.964,Share of Total,nearest_neighbors,4
5,0.174,0.109,0.991,L2 Normalization,nearest_neighbors,5
6,0.228,0.133,0.964,L2 Normalization,nearest_neighbors,10
6,0.215,0.122,0.989,Share of Top 30 (L1 Norm),nearest_neighbors,9
6,0.211,0.12,0.983,Share of Top 30 (L1 Norm),nearest_neighbors,10
6,0.198,0.12,0.984,TF-IDF,nearest_neighbors,5
6,0.2,0.119,0.916,Share of Top 30 (L1 Norm),nearest_neighbors,8
6,0.186,0.119,0.909,Share of Top 30 (L1 Norm),nearest_neighbors,7
6,0.202,0.118,0.993,TF-IDF,nearest_neighbors,4
6,0.186,0.118,0.891,Share of Total,nearest_neighbors,4
6,0.197,0.117,0.886,L2 Normalization,nearest_neighbors,9
6,0.188,0.116,0.901,Share of Top 30 (L1 Norm),nearest_neighbors,6
6,0.192,0.115,0.98,TF-IDF,nearest_neighbors,10
6,0.193,0.114,0.87,Share of Total,nearest_neighbors,8
6,0.19,0.114,0.981,TF-IDF,nearest_neighbors,9
6,0.19,0.113,0.866,L2 Normalization,nearest_neighbors,8
6,0.158,0.113,0.93,Share of Top 30 (L1 Norm),nearest_neighbors,5
6,0.189,0.112,0.983,L2 Normalization,nearest_neighbors,6
6,0.186,0.112,0.926,L2 Normalization,nearest_neighbors,7
6,0.192,0.111,0.965,Share of Total,nearest_neighbors,6
6,0.191,0.11,0.952,Share of Total,nearest_neighbors,9
6,0.196,0.109,0.937,Share of Total,nearest_neighbors,7
6,0.178,0.109,0.989,L2 Normalization,nearest_neighbors,4
6,0.176,0.108,0.974,L2 Normalization,nearest_neighbors,5
6,0.174,0.105,0.985,TF-IDF,nearest_neighbors,8
6,0.176,0.104,0.946,Share of Total,nearest_neighbors,5
6,0.115,0.104,0.962,Share of Top 30 (L1 Norm),nearest_neighbors,4
6,0.169,0.103,0.907,Share of Total,nearest_neighbors,10
6,0.153,0.096,0.873,TF-IDF,nearest_neighbors,7
6,0.143,0.092,1.0,TF-IDF,nearest_neighbors,6
7,0.234,0.136,0.977,L2 Normalization,nearest_neighbors,10
7,0.214,0.129,0.986,Share of Top 30 (L1 Norm),nearest_neighbors,7
7,0.216,0.128,0.988,Share of Top 30 (L1 Norm),nearest_neighbors,8
7,0.211,0.124,0.908,L2 Normalization,nearest_neighbors,8
7,0.21,0.123,0.906,L2 Normalization,nearest_neighbors,9
7,0.216,0.122,0.819,Share of Top 30 (L1 Norm),nearest_neighbors,9
7,0.207,0.122,0.946,L2 Normalization,nearest_neighbors,7
7,0.154,0.121,0.995,Share of Top 30 (L1 Norm),nearest_neighbors,5
7,0.208,0.12,0.888,Share of Top 30 (L1 Norm),nearest_neighbors,10
7,0.201,0.118,0.936,L2 Normalization,nearest_neighbors,6
7,0.17,0.115,0.869,Share of Top 30 (L1 Norm),nearest_neighbors,6
7,0.148,0.115,0.997,Share of Top 30 (L1 Norm),nearest_neighbors,4
7,0.196,0.111,0.999,Share of Total,nearest_neighbors,9
7,0.195,0.111,0.893,Share of Total,nearest_neighbors,8
7,0.177,0.11,0.982,Share of Total,nearest_neighbors,10
7,0.199,0.109,0.841,Share of Total,nearest_neighbors,7
7,0.179,0.106,0.997,Share of Total,nearest_neighbors,6
7,0.176,0.106,0.999,TF-IDF,nearest_neighbors,5
7,0.174,0.105,1.0,TF-IDF,nearest_neighbors,8
7,0.172,0.104,0.982,TF-IDF,nearest_neighbors,10
7,0.154,0.104,0.901,Share of Total,nearest_neighbors,4
7,0.153,0.104,0.853,Share of Total,nearest_neighbors,5
