,2,3,4,5,6,7,8,9,10,11,12,13,14
Silhouette_mean (cosine),0.51,0.35,0.27,0.27,0.26,0.24,0.23,0.22,0.21,0.21,0.19,0.18,0.19
Silhouette_mean (euclidean),0.32,0.21,0.16,0.16,0.15,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.13
ARI_mean,1.0,0.95,0.86,0.85,0.75,0.68,0.64,0.59,0.58,0.58,0.62,0.64,0.65
scaler,TF-IDF,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,Share of Total,Share of Total,Share of Total,Share of Top 30 (L1 Norm),Share of Top 30 (L1 Norm),Share of Top 30 (L1 Norm)
