,0,1,2,3,4,5,6,7,8,9,10,11,12
Silhouette_mean (cosine),0.497,0.336,0.265,0.256,0.255,0.235,0.22,0.209,0.206,0.204,0.199,0.197,0.197
Silhouette_mean (euclidean),0.299,0.187,0.146,0.144,0.142,0.133,0.127,0.123,0.123,0.123,0.122,0.123,0.122
ARI_mean,1.0,0.999,0.996,0.842,0.677,0.6,0.574,0.544,0.548,0.525,0.523,0.551,0.553
scaler,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total
