,2,3,4,5,6,7,8,9,10,11,12,13,14
Silhouette_mean (cosine),0.47,0.34,0.29,0.25,0.2,0.19,0.2,0.19,0.19,0.2,0.21,0.22,0.22
Silhouette_mean (euclidean),0.3,0.2,0.17,0.14,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.13,0.12
ARI_mean,0.64,1.0,1.0,0.76,1.0,0.79,0.79,0.82,0.68,0.71,0.76,1.0,1.0
scaler,L2 Normalization,L2 Normalization,TF-IDF,TF-IDF,L2 Normalization,TF-IDF,TF-IDF,TF-IDF,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization
