year,province,male,female
2020,Gaziantep,20594,19806
2020,Giresun,2083,1946
2020,Gümüşhane,805,817
2020,Hakkari,2675,2468
2020,Hatay,13237,12806
2020,Isparta,2317,2158
2020,Iğdır,1830,1754
2020,Kahramanmaraş,9238,8780
2020,Karabük,1104,1082
2020,Karaman,1713,1592
2020,Kars,2482,2250
2020,Kastamonu,1734,1618
2020,Kayseri,9284,8812
2020,Kilis,1357,1346
2020,Kocaeli,13984,13023
2020,Konya,15898,15258
2020,Kütahya,2870,2761
2020,Kırklareli,1757,1590
2020,Kırıkkale,1461,1340
2020,Kırşehir,1332,1275
2020,Malatya,5060,4642
2020,Manisa,8648,8259
2020,Mardin,9790,9218
2020,Mersin,12077,11496
2020,Muğla,5131,4885
2020,Muş,4872,4531
2020,Nevşehir,1941,1713
2020,Niğde,2356,2308
2020,Ordu,4042,3685
2020,Osmaniye,3924,3765
2020,Rize,1874,1811
2020,Sakarya,6732,6290
2020,Samsun,7474,7013
2020,Siirt,3864,3778
2020,Sinop,1066,1022
2020,Sivas,3911,3681
2020,Tekirdağ,6801,6423
2020,Tokat,3078,2959
2020,Trabzon,4623,4272
2020,Tunceli,481,452
2020,Uşak,1951,1847
2020,Van,12543,12106
2020,Yalova,1470,1399
2020,Yozgat,2490,2384
2020,Zonguldak,2565,2475
2020,Çanakkale,2569,2357
2020,Çankırı,1076,1048
2020,Çorum,2849,2625
2020,İstanbul,98754,94103
2020,İzmir,22923,21768
2020,Şanlıurfa,30576,28953
2020,Şırnak,6820,6751
2021,Adana,15520,14469
2021,Adıyaman,5614,5411
2021,Afyonkarahisar,4618,4308
2021,Aksaray,3085,2934
2021,Amasya,1621,1524
2021,Ankara,30951,29263
2021,Antalya,14774,13806
2021,Ardahan,603,616
2021,Artvin,784,752
2021,Aydın,5984,5674
2021,Ağrı,6033,5596
2021,Balıkesir,5604,5271
2021,Bartın,821,823
2021,Batman,6714,6492
2021,Bayburt,510,481
2021,Bilecik,1243,1051
2021,Bingöl,2427,2259
2021,Bitlis,3904,3736
2021,Bolu,1580,1480
2021,Burdur,1244,1195
2021,Bursa,18828,17796
2021,Denizli,5608,5420
2021,Diyarbakır,19058,18173
2021,Düzce,2265,2200
2021,Edirne,1818,1693
2021,Elazığ,3572,3439
2021,Erzincan,1441,1326
2021,Erzurum,5916,5623
2021,Eskişehir,4501,4240
2021,Gaziantep,21024,20002
2021,Giresun,1981,1842
2021,Gümüşhane,763,720
2021,Hakkari,2529,2395
2021,Hatay,13164,12382
2021,Isparta,2181,2210
2021,Iğdır,1771,1728
2021,Kahramanmaraş,8715,8354
2021,Karabük,1142,1121
2021,Karaman,1594,1517
2021,Kars,2275,2128
2021,Kastamonu,1627,1635
2021,Kayseri,9047,8465
2021,Kilis,1395,1324
2021,Kocaeli,13601,12962
2021,Konya,15589,15046
2021,Kütahya,2632,2506
2021,Kırklareli,1619,1478
2021,Kırıkkale,1349,1305
2021,Kırşehir,1244,1195
2021,Malatya,4784,4715
2021,Manisa,8414,7981
2021,Mardin,9929,9596
2021,Mersin,11923,11117
2021,Muğla,4993,4658
2021,Muş,4704,4477
2021,Nevşehir,1860,1720
2021,Niğde,2268,2236
2021,Ordu,3661,3464
2021,Osmaniye,3724,3619
2021,Rize,1824,1768
2021,Sakarya,6667,6405
2021,Samsun,7139,6644
2021,Siirt,3735,3512
2021,Sinop,967,987
2021,Sivas,3628,3529
2021,Tekirdağ,6552,6373
2021,Tokat,2998,2774
2021,Trabzon,4560,4137
2021,Tunceli,466,423
2021,Uşak,1842,1741
2021,Van,11657,11026
2021,Yalova,1512,1415
2021,Yozgat,2365,2187
2021,Zonguldak,2426,2329
2021,Çanakkale,2422,2274
2021,Çankırı,1135,1020
2021,Çorum,2664,2558
2021,İstanbul,92851,88346
2021,İzmir,22386,20990
2021,Şanlıurfa,32013,30255
2021,Şırnak,7029,6827
2022,Adana,15352,14331
2022,Adıyaman,5307,5090
2022,Afyonkarahisar,4440,4234
2022,Aksaray,3122,2848
2022,Amasya,1519,1474
2022,Ankara,29807,28213
2022,Antalya,14104,13100
2022,Ardahan,542,527
2022,Artvin,795,728
2022,Aydın,5816,5518
2022,Ağrı,5325,5141
2022,Balıkesir,5541,5353
2022,Bartın,874,781
2022,Batman,6350,6105
2022,Bayburt,479,417
2022,Bilecik,1108,1142
2022,Bingöl,2196,2043
2022,Bitlis,3696,3475
2022,Bolu,1545,1413
2022,Burdur,1277,1192
2022,Bursa,17980,16890
2022,Denizli,5555,5309
2022,Diyarbakır,18210,17294
2022,Düzce,2257,2161
2022,Edirne,1798,1749
2022,Elazığ,3374,3246
2022,Erzincan,1287,1199
2022,Erzurum,5542,5030
2022,Eskişehir,4304,4120
2022,Gaziantep,20718,19199
2022,Giresun,1895,1862
2022,Gümüşhane,719,714
2022,Hakkari,2494,2360
2022,Hatay,12391,11978
2022,Isparta,2181,2094
2022,Iğdır,1601,1576
2022,Kahramanmaraş,8437,8137
2022,Karabük,1071,1026
2022,Karaman,1619,1427
2022,Kars,2092,1997
2022,Kastamonu,1685,1578
2022,Kayseri,8771,8236
2022,Kilis,1412,1284
2022,Kocaeli,13071,12523
2022,Konya,15407,14636
2022,Kütahya,2565,2416
2022,Kırklareli,1691,1469
2022,Kırıkkale,1317,1202
2022,Kırşehir,1250,1152
2022,Malatya,4664,4500
2022,Manisa,8245,7777
2022,Mardin,9403,9061
2022,Mersin,11579,11047
2022,Muğla,4760,4509
2022,Muş,4267,4011
2022,Nevşehir,1841,1647
2022,Niğde,2300,2161
2022,Ordu,3661,3427
2022,Osmaniye,3951,3641
2022,Rize,1635,1647
2022,Sakarya,6356,5899
2022,Samsun,6826,6424
2022,Siirt,3445,3305
2022,Sinop,992,878
2022,Sivas,3336,3361
2022,Tekirdağ,6591,6122
2022,Tokat,2929,2680
2022,Trabzon,4122,3976
2022,Tunceli,428,403
2022,Uşak,1885,1758
2022,Van,11233,10720
2022,Yalova,1474,1372
2022,Yozgat,2279,2129
2022,Zonguldak,2240,2138
2022,Çanakkale,2352,2243
2022,Çankırı,1039,926
2022,Çorum,2475,2394
2022,İstanbul,87839,83348
2022,İzmir,21459,20441
2022,Şanlıurfa,30338,28922
2022,Şırnak,6690,6481
2023,Adana,13782,13286
2023,Adıyaman,4375,4259
2023,Afyonkarahisar,4232,3937
2023,Aksaray,2818,2714
2023,Amasya,1466,1367
2023,Ankara,27972,26432
2023,Antalya,13240,12645
2023,Ardahan,494,451
2023,Artvin,721,690
2023,Aydın,5446,5279
2023,Ağrı,4691,4367
2023,Balıkesir,5368,5100
2023,Bartın,740,740
2023,Batman,5851,5730
2023,Bayburt,430,419
2023,Bilecik,1123,1101
2023,Bingöl,2013,1867
2023,Bitlis,3356,3096
2023,Bolu,1418,1344
2023,Burdur,1223,1241
2023,Bursa,17149,15904
2023,Denizli,5256,5093
2023,Diyarbakır,16615,15948
2023,Düzce,2115,2083
2023,Edirne,1722,1633
2023,Elazığ,3224,3006
2023,Erzincan,1215,1185
2023,Erzurum,5054,4713
2023,Eskişehir,4093,3733
2023,Gaziantep,18077,17251
2023,Giresun,1924,1701
2023,Gümüşhane,652,645
2023,Hakkari,2364,2236
2023,Hatay,10440,9710
2023,Isparta,2055,2034
2023,Iğdır,1497,1372
2023,Kahramanmaraş,7278,6836
2023,Karabük,998,931
2023,Karaman,1496,1382
2023,Kars,1848,1795
2023,Kastamonu,1544,1464
2023,Kayseri,7865,7568
2023,Kilis,1267,1220
2023,Kocaeli,12561,11813
2023,Konya,14526,13784
2023,Kütahya,2401,2240
2023,Kırklareli,1537,1510
2023,Kırıkkale,1187,1177
2023,Kırşehir,1162,1047
2023,Malatya,3901,3594
2023,Manisa,7962,7518
2023,Mardin,8825,8209
2023,Mersin,10712,10229
2023,Muğla,4576,4375
2023,Muş,3631,3600
2023,Nevşehir,1663,1561
2023,Niğde,2178,2028
2023,Ordu,3394,3235
2023,Osmaniye,3580,3343
2023,Rize,1687,1574
2023,Sakarya,6290,5870
2023,Samsun,6428,6146
2023,Siirt,3125,3031
2023,Sinop,899,847
2023,Sivas,3290,3006
2023,Tekirdağ,6281,6057
2023,Tokat,2760,2600
2023,Trabzon,3989,3781
2023,Tunceli,413,374
2023,Uşak,1761,1689
2023,Van,9753,9585
2023,Yalova,1411,1345
2023,Yozgat,2063,1987
2023,Zonguldak,2085,2024
2023,Çanakkale,2425,2239
2023,Çankırı,973,902
2023,Çorum,2266,2160
2023,İstanbul,80543,76835
2023,İzmir,19892,18972
2023,Şanlıurfa,27904,26751
2023,Şırnak,6412,6067
2024,Adana,13553,12634
2024,Adıyaman,4420,4092
2024,Afyonkarahisar,4015,3701
2024,Aksaray,2764,2560
2024,Amasya,1399,1224
2024,Ankara,26705,25493
2024,Antalya,12706,11756
2024,Ardahan,476,462
2024,Artvin,674,691
2024,Aydın,5276,4962
2024,Ağrı,4443,4330
2024,Balıkesir,5217,4983
2024,Bartın,765,706
2024,Batman,5927,5501
2024,Bayburt,423,398
2024,Bilecik,1109,1075
2024,Bingöl,1902,1816
2024,Bitlis,3312,2965
2024,Bolu,1470,1326
2024,Burdur,1222,1157
2024,Bursa,16465,15536
2024,Denizli,5001,4808
2024,Diyarbakır,16532,15795
2024,Düzce,2123,2062
2024,Edirne,1718,1623
2024,Elazığ,3161,3007
2024,Erzincan,1191,1177
2024,Erzurum,4635,4369
2024,Eskişehir,3781,3559
2024,Gaziantep,18526,17287
2024,Giresun,1801,1665
2024,Gümüşhane,660,638
2024,Hakkari,2210,2080
2024,Hatay,10066,9761
2024,Isparta,1973,1838
2024,Iğdır,1392,1331
2024,Kahramanmaraş,7197,6953
2024,Karabük,998,945
2024,Karaman,1319,1365
2024,Kars,1804,1665
2024,Kastamonu,1506,1553
2024,Kayseri,7845,7481
2024,Kilis,1310,1217
2024,Kocaeli,11965,11431
2024,Konya,13953,13465
2024,Kütahya,2406,2333
2024,Kırklareli,1538,1438
2024,Kırıkkale,1210,1164
2024,Kırşehir,1090,982
2024,Malatya,3816,3622
2024,Manisa,7493,7016
2024,Mardin,8590,8076
2024,Mersin,10540,9899
2024,Muğla,4517,4102
2024,Muş,3675,3412
2024,Nevşehir,1657,1537
2024,Niğde,2128,1963
2024,Ordu,3388,3071
2024,Osmaniye,3500,3463
2024,Rize,1555,1499
2024,Sakarya,5987,5607
2024,Samsun,6386,6174
2024,Siirt,3045,2932
2024,Sinop,876,842
2024,Sivas,3196,2903
2024,Tekirdağ,6196,5939
2024,Tokat,2604,2513
2024,Trabzon,3729,3549
2024,Tunceli,392,371
2024,Uşak,1641,1546
2024,Van,9686,9070
2024,Yalova,1499,1395
2024,Yozgat,2061,1873
2024,Zonguldak,2085,2005
2024,Çanakkale,2220,2195
2024,Çankırı,919,883
2024,Çorum,2202,2066
2024,İstanbul,79391,75159
2024,İzmir,18811,17898
2024,Şanlıurfa,28601,26825
2024,Şırnak,6285,5969
