,2,3,4,5,6,7,8,9,10
0,2,3,4,5,6,6,6,9,10
1,1,3,4,5,4,6,6,6,8
2,2,3,4,3,4,5,5,5,4
3,1,3,4,3,6,4,4,6,9
4,1,3,4,5,6,5,6,2,7
5,1,1,4,2,6,6,3,9,8
6,2,3,4,5,2,1,7,6,1
7,2,3,3,3,5,6,5,6,10
8,2,3,2,5,1,3,3,9,2
9,1,3,4,5,4,5,1,8,4
10,1,2,4,2,4,5,6,9,3
11,1,3,4,1,4,5,7,8,1
12,1,3,4,5,4,5,8,9,4
13,2,2,4,2,4,6,1,9,10
14,1,3,4,3,1,4,6,2,10
15,2,3,1,5,4,5,6,9,1
16,1,3,3,2,4,6,6,6,2
17,1,2,4,2,4,5,5,8,8
18,1,3,4,3,3,3,8,3,5
19,1,3,4,4,4,5,3,4,9
20,1,3,4,3,3,2,5,8,10
21,2,3,2,5,4,6,5,3,10
22,2,1,2,4,4,3,3,2,3
23,1,3,4,5,5,6,4,8,4
24,1,3,4,5,3,6,6,9,6
25,1,3,4,5,1,5,3,8,10
26,1,3,4,3,2,6,3,7,8
27,2,3,4,2,4,6,2,7,4
28,1,3,4,5,6,5,1,3,7
29,2,3,3,2,2,5,5,5,3
30,1,3,4,3,2,5,4,7,10
31,2,3,4,3,3,5,8,6,4
32,2,3,4,5,6,6,5,3,5
33,1,1,4,3,4,3,1,7,4
34,2,3,4,5,4,6,1,2,6
35,1,3,3,2,4,1,6,3,2
36,2,3,3,3,4,6,6,7,9
37,2,3,1,3,4,5,6,9,10
38,1,3,4,5,6,6,4,6,3
39,2,3,1,5,2,5,4,6,8
40,2,3,4,5,4,6,4,8,10
41,1,3,4,3,4,6,6,3,2
42,1,3,4,3,4,6,6,3,8
43,1,3,4,3,2,6,2,8,2
44,2,3,3,5,4,3,5,7,10
45,1,3,3,5,4,6,1,9,1
46,1,3,4,4,6,2,1,8,10
47,1,3,4,3,4,4,6,6,1
48,1,3,4,5,6,5,8,2,10
49,2,3,3,3,4,4,1,2,10
50,1,3,4,3,4,6,6,9,10
51,2,3,4,2,6,5,6,3,2
52,2,3,4,3,1,5,1,9,6
53,1,1,3,5,4,5,4,2,5
54,2,3,4,2,4,4,6,9,4
55,1,3,4,3,1,4,3,2,4
56,1,3,4,2,4,6,1,5,10
57,2,3,4,5,5,5,6,3,10
58,1,2,3,5,4,4,1,7,10
59,1,3,4,3,4,3,6,1,8
60,1,3,4,3,4,4,6,3,4
61,2,3,4,3,4,5,5,4,9
62,1,3,4,4,6,1,3,3,9
63,1,3,4,2,2,5,6,8,5
64,2,3,1,5,6,3,6,6,10
65,1,1,4,3,4,6,8,5,4
66,1,3,3,5,6,5,5,2,3
67,1,3,4,4,4,2,6,8,6
68,1,3,2,4,6,6,4,8,2
69,2,2,2,4,1,5,8,5,7
70,2,3,2,2,4,6,2,3,9
71,1,3,4,3,6,3,6,8,4
72,1,3,4,3,6,6,2,8,5
73,1,3,4,5,6,4,6,7,9
74,2,3,4,3,3,6,2,4,5
75,2,3,4,3,1,2,4,8,10
76,1,2,4,5,4,5,5,8,9
77,1,3,1,5,6,6,6,4,8
78,1,3,4,5,4,5,1,8,10
79,1,3,4,5,4,6,6,9,4
80,1,3,4,5,5,7,6,5,6
81,1,3,3,5,4,6,2,5,1
82,1,3,4,5,1,5,5,3,3
83,2,3,1,5,4,3,6,5,2
84,1,3,4,3,1,5,6,1,4
85,1,3,4,3,6,3,2,5,5
86,1,3,4,1,3,5,1,8,10
87,1,3,4,4,4,3,6,1,6
88,1,3,2,2,6,5,4,8,8
89,1,2,4,3,4,5,7,7,9
90,2,3,2,3,4,3,6,3,5
91,1,3,4,2,4,5,1,8,10
92,1,3,3,4,4,5,4,6,7
93,1,3,4,5,1,6,8,3,6
94,1,3,4,3,6,4,1,4,4
95,1,2,3,3,5,3,6,6,6
96,1,3,4,3,6,4,3,3,7
97,1,3,4,5,4,4,6,9,9
98,1,3,4,5,6,1,1,7,10
99,1,3,4,5,6,3,7,3,7
