Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,CalinskiHarabasz_mean,CalinskiHarabasz_std,ARI_mean,ARI_std
2,0.9313901300355626,0.07522161614375587,0.7498665451522009,0.1638334040447862,0.35899862661533893,0.29377019850946595,1487.5627355138918,1306.0612172863905,0.8988609472868996,0.22108717617757848
3,0.8764170819880749,0.07790370957536033,0.6087352148681675,0.17600432037809197,0.6046736025774898,0.396508887930356,819.4397602523114,642.8433212695383,0.7781231706292451,0.2268185449934502
4,0.8617736594379721,0.06013158597506846,0.5497556967295375,0.15319630287478142,0.702525036860218,0.3297950403954741,522.030848489809,373.0543629086778,0.7387081699586646,0.17762533210722206
5,0.8407505803310886,0.056362398646504545,0.5002948440300827,0.1433015460694351,0.7945292347955853,0.33414278248691953,413.7663990102325,294.97747598567736,0.7108447500237134,0.16097947727332396
6,0.8235608852613264,0.05048375344337262,0.4488320992443714,0.12659302741329315,0.8724763099698724,0.28823754287555126,310.10282910395455,212.99758301635603,0.6599338442646705,0.14373045675294505
7,0.8094674545601005,0.0456336989315894,0.41424295260548744,0.11285393154994652,0.9625951185189362,0.30964494727206665,248.31864349141392,152.9635172797337,0.6410814316083298,0.1173320478711148
8,0.8093649510527432,0.04210366231992753,0.3932556965150182,0.10282008585386294,0.9979107374044937,0.2964572373878747,210.66714767923844,124.02847478802533,0.6234936240448572,0.1020863546494403
9,0.7977892826470709,0.03903764147010067,0.3552659574040124,0.09844573704912506,1.0702278726733006,0.2782281135113256,174.1745296133452,94.28911136826599,0.5887935908247364,0.08696440950732807
10,0.7900625237004094,0.0338987666476514,0.333718136343459,0.09981379297742624,1.1807458244490459,0.3118505761204939,155.36884955524502,81.77276212624263,0.5653852838154895,0.09088874638911815
