,0,1,2,3,4,5,6,7,8,9,10,11,12
Silhouette_mean (cosine),0.522,0.345,0.329,0.329,0.328,0.326,0.298,0.275,0.262,0.248,0.246,0.24,0.235
Silhouette_mean (euclidean),0.342,0.193,0.195,0.189,0.176,0.177,0.17,0.156,0.149,0.144,0.142,0.139,0.136
ARI_mean,1.0,1.0,0.969,0.982,0.942,0.943,0.925,0.754,0.7,0.615,0.591,0.605,0.604
scaler,Share of Total,Share of Total,L2 Normalization,Share of Total,Share of Top 30 (L1 Norm),Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total
