,0,1,2,3,4,5,6,7,8,9,10,11,12
Silhouette_mean (cosine),0.525,0.484,0.34,0.301,0.3,0.284,0.273,0.266,0.25,0.247,0.246,0.237,0.233
Silhouette_mean (euclidean),0.372,0.322,0.197,0.177,0.175,0.165,0.159,0.154,0.145,0.143,0.142,0.137,0.135
ARI_mean,0.686,0.838,0.848,0.598,0.627,0.647,0.648,0.63,0.572,0.565,0.565,0.532,0.525
scaler,Share of Total,Share of Total,Share of Total,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization
