,2,3,4,5,6,7,8,9,10,11,12,13,14
Silhouette_mean (cosine),0.5,0.34,0.31,0.28,0.27,0.25,0.23,0.22,0.22,0.22,0.22,0.23,0.24
Silhouette_mean (euclidean),0.32,0.2,0.18,0.17,0.16,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.14
ARI_mean,0.84,0.63,0.88,0.82,0.76,0.78,0.81,0.69,0.68,0.88,0.97,0.92,0.93
scaler,Share of Total,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,TF-IDF,TF-IDF,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization
