,2,3,4,5,6,7,8,9,10
0,1,3,2,2,3,4,5,4,6
1,2,2,3,4,4,6,7,8,9
2,1,2,3,4,6,7,6,7,3
3,1,2,3,4,6,7,8,9,10
4,1,2,3,5,2,5,4,3,5
5,1,3,4,3,5,3,3,6,8
6,1,3,2,2,3,4,5,4,6
7,1,2,3,5,2,5,5,3,5
8,1,3,2,2,3,5,5,5,7
9,1,3,2,2,3,4,5,4,6
10,2,1,1,1,1,1,1,1,1
11,1,3,2,2,3,4,5,5,7
12,1,2,3,5,2,5,4,3,5
13,2,1,1,1,1,1,1,1,1
14,1,2,3,4,6,7,6,7,2
15,1,2,3,5,2,5,4,3,5
16,2,2,3,4,4,6,7,8,9
17,2,1,1,1,1,1,1,1,1
18,1,2,3,5,2,5,4,3,5
19,1,3,2,2,3,4,5,5,7
20,1,3,4,3,5,3,3,6,8
21,1,3,2,2,3,4,5,5,7
22,2,1,1,1,1,1,1,1,1
23,1,2,3,5,2,5,4,3,5
24,1,3,2,2,4,2,2,2,4
25,2,2,3,4,4,6,7,8,9
26,1,2,3,4,6,7,6,7,2
27,2,1,1,4,4,6,7,8,9
28,1,3,2,2,3,4,5,5,7
29,1,2,3,4,6,7,8,9,10
30,1,3,2,5,2,5,4,5,7
31,1,2,3,4,6,7,6,7,2
32,2,1,1,1,1,1,1,1,1
33,1,3,2,2,3,4,5,4,6
34,1,3,2,2,3,4,5,5,7
35,2,1,1,1,1,1,1,1,1
36,1,2,3,4,6,7,8,9,10
37,1,2,3,5,2,5,4,3,5
38,1,2,3,4,6,7,6,7,3
39,2,1,1,1,1,1,1,1,1
40,1,2,3,5,2,5,4,3,5
41,1,2,3,4,6,7,6,7,3
42,1,2,3,4,6,7,8,9,10
43,1,3,4,3,5,3,3,6,8
44,1,2,3,4,6,7,6,7,3
45,1,2,3,5,6,7,6,7,3
46,1,3,2,2,4,2,2,2,4
47,1,2,3,5,6,7,6,7,3
48,1,2,3,5,6,7,6,7,3
49,1,2,3,4,4,6,7,8,9
50,1,3,2,2,3,4,5,4,6
51,2,1,1,1,1,1,1,1,1
52,1,3,2,2,3,4,5,4,6
53,1,3,2,2,4,2,2,2,4
54,2,1,1,1,1,1,1,1,1
55,1,2,3,5,6,7,6,7,3
56,1,2,3,4,6,7,6,7,3
57,1,2,3,5,2,5,4,3,5
58,1,2,3,4,6,7,8,9,10
59,1,2,3,5,2,5,4,3,5
60,1,3,4,5,2,5,4,3,5
61,1,2,3,5,2,5,4,3,5
62,2,1,1,1,1,1,1,1,1
63,1,2,3,5,2,5,4,3,5
64,1,2,3,4,6,7,6,7,2
65,1,3,2,2,3,4,5,4,6
66,1,2,3,4,6,7,6,7,2
67,1,2,3,5,2,5,4,3,5
68,1,3,2,2,4,2,2,2,4
69,1,3,2,2,3,4,5,5,7
70,2,1,1,1,1,1,1,1,1
71,1,2,3,5,2,5,4,3,5
72,1,2,3,4,6,7,6,7,3
73,1,2,3,5,2,5,4,3,5
74,1,3,2,2,4,2,2,2,4
75,1,2,3,5,6,7,6,7,3
76,1,2,3,5,2,5,4,3,5
77,1,3,4,3,5,3,3,6,8
78,1,3,2,2,3,2,2,2,4
79,2,1,1,1,1,1,1,1,1
80,2,1,1,1,1,1,1,1,1
