Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.5189280491353363,1.1102230246251565e-16,0.3278076973429061,5.551115123125783e-17,1.2260455233301806,0.0,1.0,0.0
3,0.2679954910359,5.551115123125783e-17,0.1597699070751193,2.7755575615628914e-17,1.8002440728135343,2.220446049250313e-16,1.0,0.0
4,0.22850068339602234,1.3877787807814457e-16,0.13668315587783922,2.7755575615628914e-17,1.8815204808570298,5.183683495748049e-16,1.0,0.0
5,0.23990520579156005,0.0035114104103721204,0.14017850878342725,0.0019979589542345336,1.8280994220402464,0.020103751918352623,0.9470029033217076,0.06060171608785446
6,0.19804096304058696,0.0011637616809121697,0.11967347171294175,0.00021082529959212426,1.9896266193124057,0.006780974037366013,0.9839580326353045,0.019008747464196684
7,0.17629422780072365,0.0004991446970169305,0.10621868398892036,0.0002567451853909555,1.8945639022329146,0.000626927265175565,0.9986628871193497,0.006585209946417544
8,0.1653903651077626,0.0052037029347209015,0.0994209126957167,0.0027250027155244208,1.8050152570818483,0.022403093440696967,0.9830947147239991,0.01847816664877333
9,0.1689584422348873,0.0012420828294364501,0.1011921375570844,0.0006341830709182417,1.8016032459981535,0.007604254404196631,0.994152397544139,0.009152933786849898
10,0.16193119674161008,0.000764099987157112,0.0963611268275447,0.00036730090146811417,1.8273236410587657,0.0021081847976512796,0.9909653905360399,0.011020169302291565
11,0.1575178173121325,0.0018750962578351926,0.093577780555745,0.0009564870587896524,1.810622692227205,0.010234779001811899,0.9667332130309201,0.026636839112384025
12,0.14910369983489885,0.0019453302444755393,0.08852210990000645,0.0010632386343004958,1.8014511091071947,0.01179264404206806,0.9270718040004644,0.04569210467732587
13,0.133416189003983,0.00596747235226492,0.08005521164912258,0.002990833168937146,1.8805826785362125,0.031985038302845846,0.820608400624948,0.07260067334718746
14,0.12605354077998546,0.005802376314334742,0.07823570886987218,0.0028552676139359775,1.842128854530799,0.030399574135612367,0.7922058166027962,0.07007715306607912
