,2,3,4,5,6,7,8,9,10
0,1,1,3,2,6,5,1,1,8
1,2,3,2,4,2,2,3,5,5
2,1,2,2,4,2,2,3,4,3
3,2,2,2,4,2,2,3,4,3
4,1,2,4,3,5,6,4,2,7
5,1,1,3,2,6,6,1,1,7
6,1,1,3,2,6,5,1,1,8
7,2,3,2,4,3,4,2,6,9
8,1,1,3,2,6,5,1,1,8
9,1,1,3,2,6,5,1,1,8
10,2,3,1,1,1,1,7,7,1
11,1,1,3,2,6,5,1,1,8
12,1,1,4,3,5,6,4,2,7
13,2,3,1,1,1,1,7,7,1
14,2,2,2,4,3,3,5,5,4
15,1,1,4,3,5,6,4,2,7
16,2,3,2,4,3,3,5,5,5
17,2,3,1,1,1,1,7,7,1
18,1,2,4,3,5,6,4,2,7
19,1,1,4,2,6,5,1,1,8
20,1,1,4,3,5,6,4,2,7
21,1,1,3,2,6,5,1,1,8
22,2,3,1,1,1,1,7,7,1
23,1,2,4,3,5,6,4,2,7
24,1,1,3,2,6,5,1,1,8
25,2,2,2,4,3,3,5,5,5
26,1,2,4,4,3,3,5,5,4
27,2,3,2,4,3,3,5,5,5
28,1,1,3,2,6,5,1,1,8
29,2,2,2,4,2,2,3,4,3
30,1,1,4,3,5,6,4,2,7
31,1,2,2,4,3,3,5,5,4
32,2,3,1,1,1,1,7,8,2
33,2,2,2,4,2,2,3,4,3
34,1,1,4,2,6,5,1,1,8
35,2,3,1,1,1,1,7,7,1
36,2,2,2,4,2,2,3,4,3
37,1,2,4,3,5,6,4,2,7
38,1,2,2,4,2,3,6,3,6
39,2,3,1,1,1,1,7,7,1
40,1,2,4,3,5,3,6,3,6
41,1,2,4,3,5,3,6,3,6
42,2,2,2,4,2,2,3,4,3
43,1,1,4,3,5,6,4,2,7
44,2,2,2,4,2,2,3,4,3
45,1,2,4,3,5,3,6,3,6
46,1,1,3,2,6,5,1,1,8
47,1,2,4,3,5,3,6,3,6
48,1,2,4,3,5,3,6,3,6
49,1,2,2,4,3,3,5,5,5
50,1,1,3,2,6,5,1,1,8
51,2,3,1,1,1,1,7,7,1
52,1,1,3,2,6,5,1,1,8
53,1,1,3,2,6,5,1,1,8
54,2,3,1,1,1,1,7,7,1
55,1,2,4,3,5,3,6,3,6
56,1,2,2,4,2,3,6,3,6
57,1,1,4,3,5,6,4,2,7
58,1,2,2,4,2,2,3,4,3
59,1,2,4,3,5,6,4,2,7
60,1,2,4,3,5,6,4,2,7
61,1,2,4,3,5,6,4,2,7
62,2,3,1,1,1,1,7,7,1
63,1,2,4,3,5,6,4,2,7
64,1,2,4,3,5,3,6,3,6
65,1,1,3,2,6,5,1,1,8
66,1,2,4,3,5,3,6,3,6
67,1,2,4,3,5,6,4,2,7
68,1,1,3,2,6,5,1,1,8
69,1,1,3,2,6,5,1,1,8
70,2,3,1,1,1,1,7,7,1
71,1,1,4,3,5,6,4,2,7
72,1,2,2,4,2,3,6,3,6
73,1,1,3,2,6,6,1,1,8
74,1,1,3,2,6,5,1,1,8
75,1,2,4,3,5,3,6,3,6
76,1,2,4,3,5,6,4,2,7
77,1,1,3,2,6,6,1,1,7
78,1,1,3,2,6,5,1,1,8
79,2,3,2,5,4,7,8,9,10
80,2,3,1,1,1,1,7,7,1
