,2,3,4,5,6,7,8,9,10
0,1,3,2,4,3,6,7,9,8
1,2,1,3,2,6,5,3,5,6
2,1,2,3,2,6,3,6,3,4
3,2,2,3,2,6,4,3,4,5
4,1,2,4,5,4,7,8,6,9
5,1,3,2,5,4,7,8,7,9
6,1,3,2,4,3,6,7,8,8
7,1,3,2,5,4,7,8,7,10
8,1,3,2,4,3,6,7,9,8
9,1,3,2,4,3,6,7,8,8
10,2,1,1,1,1,1,1,1,2
11,1,3,2,4,3,6,7,9,8
12,1,3,4,5,4,7,8,6,9
13,2,1,1,1,1,1,1,1,1
14,2,2,3,2,6,5,5,5,7
15,1,3,4,5,4,7,8,6,9
16,2,1,3,2,6,5,3,5,6
17,2,1,1,1,1,1,1,1,2
18,1,2,4,5,4,7,8,6,9
19,1,3,2,4,3,6,7,9,8
20,1,3,4,5,4,7,8,6,9
21,1,3,2,4,3,6,7,9,8
22,2,1,1,1,1,1,1,1,1
23,1,2,4,5,4,7,8,6,9
24,1,3,2,4,3,6,7,8,8
25,2,2,3,2,6,5,3,5,6
26,1,2,4,3,5,3,5,5,7
27,2,1,3,2,6,5,3,5,6
28,1,3,2,4,3,6,7,9,8
29,2,2,3,2,6,4,3,4,5
30,1,3,4,5,4,7,8,6,9
31,1,2,3,2,6,5,5,5,7
32,2,1,1,1,1,1,1,1,1
33,2,1,3,2,6,4,4,4,5
34,1,3,2,4,3,6,7,9,8
35,2,1,1,1,1,1,1,1,2
36,2,2,3,2,6,4,3,4,5
37,1,2,4,5,4,7,8,6,9
38,1,2,3,2,6,3,6,3,4
39,2,1,1,1,1,1,1,1,2
40,1,2,4,3,5,3,6,3,4
41,1,2,4,3,5,3,6,3,4
42,2,2,3,2,6,4,3,4,5
43,1,3,4,5,4,7,8,6,9
44,2,2,3,2,6,4,3,4,5
45,1,2,4,3,5,3,6,3,4
46,1,3,2,4,3,6,7,8,8
47,1,2,4,3,5,3,6,3,4
48,1,2,4,3,5,3,6,3,4
49,2,2,3,2,6,5,3,5,6
50,1,3,2,4,3,6,7,9,8
51,2,1,1,1,1,1,1,1,1
52,1,3,2,4,3,6,7,9,8
53,1,3,2,4,3,6,7,8,8
54,2,1,1,1,1,1,1,1,2
55,1,2,4,3,5,3,6,3,4
56,1,2,3,2,6,3,6,3,4
57,1,3,4,5,4,7,8,6,9
58,1,2,3,2,6,3,3,3,5
59,1,2,4,5,4,7,8,6,9
60,1,2,4,5,4,7,8,6,9
61,1,2,4,5,4,7,8,6,9
62,2,1,1,1,1,1,1,1,1
63,1,2,4,5,4,7,8,6,9
64,1,2,4,3,5,3,6,3,4
65,1,3,2,4,3,6,7,9,8
66,1,2,4,3,5,3,6,3,4
67,1,2,4,5,4,7,8,6,9
68,1,3,2,4,3,6,7,8,8
69,1,3,2,4,3,6,7,9,8
70,2,1,1,1,1,1,1,1,2
71,1,3,4,5,4,7,8,6,9
72,1,2,3,2,6,3,6,3,4
73,1,3,2,5,4,7,8,6,9
74,1,3,2,4,3,6,7,8,8
75,1,2,4,3,5,3,6,3,4
76,1,2,4,5,4,7,8,6,9
77,1,3,2,5,4,7,8,7,9
78,1,3,2,4,3,6,7,8,8
79,2,1,1,1,2,2,2,2,3
80,2,1,1,1,1,1,1,1,1
