Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Inertia_mean,Inertia_std
2,0.5163791839062629,0.0,0.3530347742344441,0.0,1.2779462815737692,2.220446049250313e-16,1.0,0.0,0.02755199534444351,6.938893903907228e-18
3,0.3766726736531508,0.0057744084177013735,0.20997028540829688,0.005103060708751161,1.5438551957740703,0.01768040810766789,0.9856516422541877,0.05741191815750282,0.02292273769103234,1.4074579292078772e-06
4,0.3786299841586137,0.0015089826124047691,0.2136050844439291,0.0008880919780899518,1.4097684064865013,0.009542594589234024,0.9880657448007578,0.025415185682642154,0.019900726823923395,2.4817824232218964e-06
5,0.3680109300511533,0.0046685477753069015,0.21722260913837194,0.002724972169855938,1.3946029963754467,0.024503480555499925,0.9087011872355255,0.055908527111369434,0.01763797861425052,2.8230535908999678e-05
6,0.3348669090012222,0.005386402892423903,0.20045168311901246,0.0056611958762393996,1.346254510964779,0.06573365348294699,0.8935110384580592,0.07600574661419793,0.016117019711947136,2.3693888546388392e-05
7,0.3327813753154386,0.0069439571672976685,0.19440171346010554,0.005313841025762696,1.2488513381280941,0.03633620383017223,0.885864405743511,0.05981527273479367,0.014806910851279975,3.1453633837665844e-05
8,0.3258679516327024,0.02018967967234656,0.19311609051731796,0.012173491712983564,1.2829012039145453,0.06634394079683173,0.8149805254971666,0.0918216002529977,0.01367900416847729,7.144939967719627e-05
9,0.29527216817156815,0.015374636672952557,0.1762849710161046,0.00843110432184493,1.3638349941371495,0.07854661386717604,0.6946485179604832,0.08951150033644535,0.012967037850900564,4.958571488701713e-05
10,0.2736859825484172,0.016244869514463793,0.16451909480573298,0.008046080367502597,1.4010864096611102,0.051298623188985724,0.6563217816029256,0.09291197891817095,0.012312656907909376,6.019021233621402e-05
11,0.25766254668771876,0.01928808327265343,0.15378751262255305,0.009909904254476985,1.401240879460474,0.051038957101838506,0.6137533421629412,0.09372227374721791,0.011742546632506652,5.447864886208382e-05
12,0.24885370690563896,0.023186763215311768,0.14850217452166548,0.010639237027628949,1.3826879079280272,0.058751850067284235,0.5943908212514668,0.09240415243832184,0.011208145810754199,5.348017854863974e-05
13,0.24408247475719683,0.02107285559508599,0.1466038996762453,0.009401246958573296,1.3489969546733098,0.06064723852015396,0.6083830069336158,0.09313021446312117,0.010703771557457458,5.834132383212078e-05
14,0.2420690308539461,0.017669370032245415,0.14455961554142038,0.007974529769780046,1.3291119989403128,0.05995839380029259,0.587218396050168,0.087161277669431,0.010236605061653919,6.49040677731921e-05
