Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.5117358141882602,0.0,0.3281268153493593,0.0,1.1400191971379692,2.220446049250313e-16,1.0,0.0
3,0.33823007426203255,1.6653345369377348e-16,0.20269174244405008,5.551115123125783e-17,1.618264099916127,2.220446049250313e-16,1.0,0.0
4,0.3078593457697139,5.551115123125783e-17,0.18811651659148734,1.1102230246251565e-16,1.5437324658428846,4.373771479125257e-16,1.0,0.0
5,0.25278793109921743,0.0001516104971749909,0.15132098609024372,0.00015647786522841826,1.7776609799746066,0.0008208447717872723,0.9980163610611519,0.007961657188981699
6,0.2565330248802265,5.551115123125783e-17,0.1518180597247068,2.7755575615628914e-17,1.6453312039566754,7.856740153113387e-16,1.0,0.0
7,0.23805435391646593,0.005114804766756003,0.14393717188347493,0.0026698201881604983,1.7462765602709647,0.026021731787485826,0.9059159036728911,0.09679103813326045
8,0.2358310748637088,0.0011295985572509837,0.14389620565824646,0.0008721688534796843,1.7050343045236769,0.007937869843454622,0.9680304780916391,0.029381158812182853
9,0.22463553323952032,0.005594451318739939,0.13419453186055633,0.0027517731028212622,1.6754916311245405,0.02326118082599907,0.8738002775818762,0.06829037400433798
10,0.20141298920885034,0.0030315047894561072,0.1223419054739346,0.0018912983961553895,1.6670192666734567,0.015093571793150578,0.954555807844563,0.03844501875010332
