,2,3,4,5,6,7,8,9,10,11,12,13,14
Silhouette_mean (cosine),0.48,0.38,0.35,0.32,0.31,0.27,0.24,0.23,0.23,0.23,0.24,0.25,0.25
Silhouette_mean (euclidean),0.3,0.23,0.21,0.19,0.18,0.16,0.14,0.13,0.14,0.14,0.14,0.15,0.15
ARI_mean,1.0,0.7,0.97,0.69,0.68,0.65,0.77,0.84,0.89,0.93,0.96,0.95,1.0
scaler,TF-IDF,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,Share of Top 30 (L1 Norm),Share of Top 30 (L1 Norm),L2 Normalization,Share of Top 30 (L1 Norm),Share of Top 30 (L1 Norm),Share of Top 30 (L1 Norm),Share of Top 30 (L1 Norm)
