,0,1,2,3,4,5,6,7,8,9,10,11,12
Silhouette_mean (cosine),0.524,0.38,0.376,0.376,0.351,0.339,0.346,0.314,0.299,0.282,0.271,0.267,0.269
Silhouette_mean (euclidean),0.367,0.229,0.228,0.227,0.198,0.202,0.206,0.186,0.176,0.164,0.158,0.156,0.155
ARI_mean,1.0,0.897,0.988,0.915,0.92,0.744,0.972,0.861,0.824,0.747,0.689,0.691,0.704
scaler,Share of Total,L2 Normalization,L2 Normalization,L2 Normalization,Share of Total,L2 Normalization,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total
