,0,1,2,3,4,5,6,7,8,9,10,11,12
k,2,3,4,5,6,7,8,9,10,11,12,13,14
Silhouette_mean (cosine),0.525,0.393,0.375,0.337,0.351,0.336,0.267,0.29,0.288,0.268,0.264,0.246,0.246
Silhouette_mean (euclidean),0.375,0.238,0.23,0.204,0.211,0.2,0.175,0.181,0.175,0.163,0.169,0.15,0.154
ARI_mean,1.0,1.0,1.0,0.998,0.982,0.985,0.999,0.949,0.985,0.978,0.987,0.877,0.825
scaler,Share of Total,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,L2 Normalization,Share of Top 30 (L1 Norm),Share of Top 30 (L1 Norm),L2 Normalization,L2 Normalization,Share of Top 30 (L1 Norm),Share of Top 30 (L1 Norm),Share of Top 30 (L1 Norm)
geometry,nearest_neighbors,nearest_neighbors,nearest_neighbors,nearest_neighbors,nearest_neighbors,nearest_neighbors,nearest_neighbors,nearest_neighbors,nearest_neighbors,nearest_neighbors,nearest_neighbors,nearest_neighbors,nearest_neighbors
n_neighbors,10,10,8,8,5,5,5,6,6,6,4,9,7
