,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2,2,2,2,4,3,5,4,9,8,10,13,6
1,2,2,2,2,4,3,5,4,9,8,7,13,6
2,2,2,2,2,6,7,6,9,10,9,8,10,5
3,2,2,2,2,6,3,6,9,10,9,9,12,7
4,2,3,4,5,6,6,6,6,8,7,4,8,9
5,2,3,4,3,5,5,4,2,4,6,12,5,14
6,2,3,3,4,3,7,7,5,6,5,10,4,13
7,2,3,3,4,3,2,8,6,8,7,4,8,9
8,2,3,4,3,5,4,3,6,7,11,6,2,11
9,2,3,3,4,3,2,8,5,6,5,10,4,13
10,1,1,1,1,1,1,1,1,2,2,2,7,2
11,2,3,3,4,3,2,8,5,6,5,10,4,13
12,2,3,4,3,5,4,3,6,7,11,6,2,11
13,1,1,1,1,1,1,1,1,2,2,2,7,1
14,2,3,4,5,2,6,2,8,1,3,3,1,3
15,2,3,4,3,5,5,4,2,4,6,12,5,14
16,1,1,1,1,1,1,1,1,2,1,1,6,2
17,1,1,1,1,1,1,1,1,2,2,2,7,2
18,2,3,4,3,5,5,4,6,3,10,5,9,10
19,2,2,2,5,6,7,7,5,6,5,8,10,5
20,2,3,4,3,5,5,4,2,4,6,12,5,14
21,2,3,3,4,3,7,7,5,6,5,10,4,13
22,1,1,1,1,1,1,1,1,2,2,2,7,1
23,2,3,4,3,5,5,4,3,3,10,5,9,10
24,2,3,3,4,3,2,8,7,5,4,11,3,12
25,2,3,4,5,2,6,2,8,1,1,1,6,4
26,2,3,4,5,2,6,2,8,1,3,3,1,3
27,2,3,4,5,2,6,2,8,1,3,3,1,3
28,2,3,3,4,3,2,8,7,5,6,12,5,14
29,2,2,2,2,4,3,5,4,9,8,7,13,6
30,2,3,4,3,5,4,3,6,7,11,6,2,11
31,2,3,4,5,2,6,2,8,1,3,3,1,3
32,1,1,1,1,1,1,1,1,2,1,1,6,2
33,2,2,2,2,4,3,5,4,9,8,7,13,6
34,2,2,2,5,6,7,6,9,10,9,8,10,5
35,1,1,1,1,1,1,1,1,2,1,1,6,2
36,2,2,2,2,6,3,6,9,10,9,9,12,7
37,2,3,4,3,5,5,4,3,3,10,5,9,10
38,2,2,2,2,6,7,6,9,10,9,9,12,7
39,1,1,1,1,1,1,1,1,2,1,1,6,2
40,2,3,4,3,5,5,4,3,3,10,5,9,10
41,2,2,2,5,6,7,6,9,10,9,9,11,8
42,2,2,2,2,4,3,5,4,9,8,7,13,6
43,2,3,4,3,5,5,4,2,4,6,12,5,14
44,2,2,2,2,4,3,6,9,10,9,7,12,7
45,2,2,2,5,6,7,6,9,10,9,9,11,8
46,2,3,3,4,3,2,8,7,5,4,11,3,12
47,2,3,4,5,6,6,6,9,8,7,4,8,9
48,2,2,2,2,6,7,6,9,10,9,9,11,8
49,2,2,2,5,2,6,2,8,1,1,1,6,4
50,2,3,3,4,3,7,7,5,6,5,10,4,13
51,1,1,1,1,1,1,1,1,2,2,2,7,1
52,2,2,2,2,4,3,5,5,9,8,10,13,6
53,2,3,3,4,3,2,8,7,5,4,11,3,12
54,1,1,1,1,1,1,1,1,2,2,2,7,2
55,2,2,2,5,6,7,6,9,10,9,9,11,8
56,2,2,2,5,6,7,6,9,10,9,9,11,8
57,2,3,4,3,5,4,3,6,7,11,6,2,11
58,2,2,2,2,4,3,5,4,10,9,7,12,7
59,2,3,4,3,5,5,4,3,3,10,5,9,10
60,2,3,4,3,5,5,4,3,3,10,5,9,10
61,2,3,4,3,5,5,4,3,3,10,5,9,10
62,1,1,1,1,1,1,1,1,2,2,2,7,1
63,2,3,4,3,5,4,3,6,8,7,4,8,9
64,2,3,4,5,2,6,2,8,8,7,4,8,9
65,2,3,3,4,3,2,8,7,5,6,12,5,14
66,2,3,4,5,2,6,2,8,8,7,4,8,9
67,2,3,4,3,5,5,4,3,3,10,5,9,10
68,2,3,3,4,3,2,8,7,5,11,6,2,11
69,2,2,3,4,3,7,7,5,6,5,10,4,13
70,1,1,1,1,1,1,1,1,2,2,2,7,2
71,2,3,4,3,5,5,4,2,4,6,12,5,14
72,2,2,2,5,6,6,6,9,10,9,9,11,7
73,2,3,4,3,5,4,3,6,7,11,6,2,11
74,2,3,3,4,3,2,8,7,5,4,11,3,12
75,2,2,2,5,6,6,6,9,8,7,9,11,8
76,2,3,4,5,6,6,6,6,8,7,4,8,9
77,2,3,4,3,5,5,4,2,4,6,12,5,14
78,2,3,3,4,3,2,8,7,5,4,11,3,12
79,2,2,2,2,4,3,5,4,9,8,7,13,6
80,1,1,1,1,1,1,1,1,2,2,2,7,1
